Geo ID,County,Population,Total Cases,Total Deaths,Cases per 100K,Deaths per 100K,Total ED Hospitals,Total Urgent Cares,Urgent Care per 100K,Beds per 100K,Primary Care Physicians per 100K,ED Hospitals per 100K,Median Urgent Care Distance,Median HH Income,Percent Elderly,Percent Diabetes,Percent Obesity,Percent Poverty,Percent Uninsured,Risk Score,Population Density,SVI Socioeconomic,SVI Household,SVI Minority,SVI Overall,Risk Category
6037,Los Angeles County,10103711,770914,10345,7630.01,102.39,121,128,1,239,74,1,1.4,75624,13.65,10.3,28.8,13.2,10.2,14.7,2473.53,0.87,0.32,0.97,0.86,Medium
6073,San Diego County,3321237,155657,1534,4686.72,46.19,28,40,1,216,82,1,1.99,87126,14.07,9,28.4,9.5,8.2,13.91,789.5,0.63,0.24,0.9,0.7,Low
6059,Orange County,3174289,166195,1875,5235.66,59.07,43,59,2,196,100,1,1.4,98786,14.79,9.1,23,9,7.5,13.29,3998.72,0.54,0.22,0.92,0.56,Low
6065,Riverside County,2414964,180552,1985,7476.38,82.2,20,50,2,139,45,1,1.93,76409,14.45,10.6,34.7,11.2,9.5,15.7,338.16,0.83,0.66,0.95,0.83,Medium
6071,San Bernardino County,2150945,194376,1445,9036.77,67.18,23,37,2,289,60,1,2.4,65984,11.56,11.7,39.1,14.3,8.9,15.73,107.76,0.88,0.78,0.97,0.91,Medium
6085,Santa Clara County,1932510,69878,710,3615.92,36.74,16,13,1,218,107,1,2.04,139462,13.51,8.6,20.5,6.6,5,11.79,1490.52,0.17,0.11,0.96,0.37,Low
6001,Alameda County,1660196,51610,657,3108.67,39.57,23,10,1,214,113,1,2.2,113518,13.91,9.1,24.3,8.6,4.9,12.83,2253.12,0.3,0.12,0.96,0.52,Low
6067,Sacramento County,1527301,65539,857,4291.16,56.11,13,18,1,209,91,1,2.04,72953,14.08,9.9,30.7,12.5,6.4,14.6,1593.28,0.65,0.68,0.91,0.77,Medium
6013,Contra Costa County,1145535,40696,335,3552.58,29.24,13,8,1,130,103,1,3.41,106484,15.82,8.8,28.1,7.2,5.4,14,1600.98,0.32,0.46,0.91,0.47,Medium
6019,Fresno County,985238,65399,646,6637.89,65.57,11,7,1,188,69,1,3.25,61401,12.23,12.2,34.6,17.1,8.8,15.72,166.19,0.96,0.88,0.97,0.96,Medium
6029,Kern County,887356,68968,512,7772.3,57.7,14,7,1,188,49,2,3.42,58583,10.97,12.5,35,18.3,9.6,15.55,109.71,0.96,0.82,0.95,0.97,Medium
6075,San Francisco County,878040,23225,186,2645.1,21.18,13,5,1,494,160,1,1.48,121722,15.79,8.8,19,10,4.9,12.86,18648.13,0.25,0.03,0.92,0.43,Low
6111,Ventura County,849044,39558,263,4659.12,30.98,10,24,3,146,81,1,1.52,90961,15.57,9.3,28.9,9.1,8.2,14.62,459.37,0.57,0.35,0.9,0.61,Medium
6081,San Mateo County,768901,24588,227,3197.81,29.52,9,4,1,146,107,1,2.64,132369,16.17,8.3,21.1,5.5,4.4,12.7,1706.62,0.13,0.09,0.93,0.26,Low
6077,San Joaquin County,743296,45582,651,6132.42,87.58,9,7,1,141,60,1,3.68,70685,12.77,11,29.6,13.9,7.7,14.46,539.81,0.83,0.82,0.96,0.89,Medium
6099,Stanislaus County,544717,37522,616,6888.35,113.09,9,7,1,206,65,2,2.16,64501,13.04,10.8,33.1,13,7.4,14.92,365.13,0.84,0.84,0.92,0.85,Medium
6097,Sonoma County,502469,19054,192,3792.07,38.21,13,4,1,280,101,3,5.04,87366,19.62,8.2,25.2,7.8,7.1,15.17,315.31,0.38,0.34,0.77,0.51,Medium
6107,Tulare County,462308,33442,406,7233.71,87.82,10,11,2,252,44,2,1.95,62058,11.39,13.1,36,17.1,9.5,15.89,96.18,0.97,0.86,0.97,0.93,Medium
6083,Santa Barbara County,445298,17390,160,3905.25,35.93,7,11,2,211,76,2,1.79,86136,15.29,9.8,30.1,10.5,11.7,15.3,162.73,0.81,0.33,0.91,0.84,Medium
6095,Solano County,443511,19215,98,4332.47,22.1,7,4,1,242,81,2,2.37,83678,15.74,10,30.1,9.3,6.2,14.86,540.92,0.45,0.56,0.94,0.63,Medium
6053,Monterey County,434534,27857,193,6410.78,44.42,6,13,3,162,66,1,1.84,85031,13.64,11.1,31.7,11.6,11.5,15.3,131.94,0.82,0.54,0.97,0.85,Medium
6061,Placer County,385115,13754,125,3571.4,32.46,3,4,1,184,124,1,3.35,100662,19.56,7.5,28,6.5,4.5,15,278.45,0.13,0.29,0.66,0.18,Medium
6079,San Luis Obispo County,282481,10489,82,3713.17,29.03,5,5,2,534,84,2,2.77,79455,20.07,8.4,27.9,10.6,6.8,16.05,85.59,0.35,0.15,0.7,0.45,Medium
6087,Santa Cruz County,274856,8748,83,3182.76,30.2,3,9,3,133,104,1,1.13,93015,16.44,8.8,27.5,10.7,8,14.77,613.71,0.52,0.14,0.82,0.61,Medium
6047,Merced County,271096,19443,260,7172,95.91,6,6,2,82,44,2,2.04,58998,11.24,12.9,38,16.3,10.5,16.1,141.21,0.96,0.9,0.97,0.97,Medium
6041,Marin County,259749,9799,139,3772.49,53.51,4,3,1,175,147,2,2.42,127601,22.29,7.2,23.3,6,4.2,15.23,498.52,0.13,0.36,0.67,0.33,Medium
6007,Butte County,228696,7389,96,3230.93,41.98,6,5,2,201,62,3,2.94,54718,18.21,9.4,30.5,17.3,7.2,16.66,136.48,0.75,0.55,0.67,0.83,Medium
6113,Yolo County,218477,8237,111,3770.19,50.81,3,1,0,71,122,1,3.64,80668,12.49,9.8,30.6,14.8,5.9,14.11,215.6,0.61,0.17,0.89,0.73,Medium
6017,El Dorado County,188679,5588,22,2961.64,11.66,2,3,2,112,79,1,4.53,87792,21.23,7.7,28.2,8.4,5.4,16.03,111.45,0.2,0.22,0.59,0.23,Medium
6025,Imperial County,181649,22263,419,12256.05,230.66,6,1,1,149,26,3,9.28,47599,12.91,14.4,36.2,18.1,8.9,16.89,43.25,0.97,0.94,0.99,0.99,Medium
6089,Shasta County,179384,8059,78,4492.6,43.48,8,7,4,317,76,4,2.43,59108,20.6,9,31.1,13.9,7,17.25,47.48,0.59,0.79,0.56,0.75,High
6039,Madera County,155423,10490,117,6749.32,75.28,1,4,3,199,44,1,2.09,68744,14.02,12.3,35.9,14.1,10.2,16.5,72.97,0.96,0.83,0.95,0.93,Medium
6031,Kings County,149665,16113,110,10766.04,73.5,2,1,1,130,38,1,6.73,60319,10.3,12.3,35.1,14.5,8.9,14.8,108.62,0.92,0.83,0.96,0.95,Medium
6055,Napa County,139878,5741,28,4104.29,20.02,2,1,1,1158,99,1,10.33,92149,19.2,8.6,26.9,7.9,8.6,15.51,185.19,0.41,0.38,0.87,0.62,Medium
6023,Humboldt County,136507,1763,22,1291.51,16.12,8,0,0,195,59,6,67.94,56071,17.84,9.6,31.1,15.8,7.7,16.55,38.14,0.83,0.52,0.64,0.83,Medium
6057,Nevada County,99367,2608,50,2624.61,50.32,3,2,2,171,74,3,4.62,74158,27.41,7.6,28.2,9.2,6.2,18.63,103.8,0.25,0.31,0.46,0.22,High
6101,Sutter County,96204,6503,52,6759.59,54.05,2,3,3,15,77,2,1.67,65791,15.36,10.5,29.9,11.5,9,15.3,159.81,0.83,0.87,0.9,0.86,Medium
6045,Mendocino County,87576,2557,26,2919.75,29.69,6,0,0,116,88,7,58.3,53176,22.08,9.7,31.4,14.3,11.2,18.52,24.84,0.88,0.97,0.75,0.96,High
6115,Yuba County,76578,3896,19,5087.62,24.81,1,1,1,273,19,1,4.59,56278,12.37,10.4,34,16.3,8.3,15.11,122.66,0.84,0.89,0.85,0.91,Medium
6033,Lake County,64111,1815,23,2831.03,35.88,4,0,0,78,45,6,30.16,52345,22.85,10.1,32.1,15.9,7.7,18.84,51.15,0.88,0.93,0.69,0.9,High
6103,Tehama County,63847,2966,36,4645.48,56.38,2,2,3,96,48,3,8.5,61571,19.8,10.4,34.3,13.3,8.1,17.8,21.76,0.85,0.98,0.71,0.93,High
6069,San Benito County,60164,3672,29,6103.32,48.2,0,1,2,283,30,0,1.38,91185,12.69,10.4,31.8,7.9,8.3,14.07,44.32,0.69,0.59,0.95,0.57,Medium
6109,Tuolumne County,53976,2961,21,5485.77,38.91,1,0,0,279,61,2,40.76,63336,26.06,8.6,28.6,12.1,6.4,18.71,24.38,0.54,0.43,0.55,0.6,High
6009,Calaveras County,45681,1129,22,2471.49,48.16,1,0,0,54,43,2,35.31,66329,28.02,8.7,29.7,11.6,7.2,19.72,44.93,0.49,0.55,0.54,0.32,High
6093,Siskiyou County,43622,1174,11,2691.3,25.22,4,5,11,134,81,9,8.4,49441,25.24,9.6,31.6,14.3,7.6,19.43,6.93,0.74,0.71,0.62,0.75,High
